TransactionAmount,TransactionDate,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,TransactionAmount_bin
-0.9763205656365878,591,1,36,0,1.423196390000514,0,-0.552642221900115,-0.20336697570787826,0.004753083919352834,105,0
0.2686329609123441,1031,1,15,0,1.311032333424246,0,0.2942607775305022,-0.20336697570787826,2.2112400192766364,192,1
-0.5906135777067515,1097,1,23,2,-1.4369870526943178,3,-0.9055184716628722,-0.20336697570787826,-1.0133895559206567,41,0
-0.39050659225759154,712,1,33,2,-1.04441285467738,3,-1.3430850213686911,-0.20336697570787826,0.8868808739999413,163,0
-0.7079757574565252,550,1,28,0,-1.4930690809824516,3,0.7318273272363212,-0.20336697570787826,-1.1003225944519075,13,0
-1.0004186581979795,265,0,39,0,-0.4275105435079065,0,0.2660306775494817,-0.20336697570787826,2.098398296675529,226,0
-0.43547136411251364,726,0,16,1,1.2549503051361122,2,2.4115182761070453,-0.20336697570787826,-0.5862420411201892,271,0
-0.6595733119123889,486,0,11,1,0.3576378525259688,1,-0.4820669719475636,-0.20336697570787826,1.0211273087036732,290,0
1.7802468355336234,533,1,26,0,0.5819659656785047,0,-0.002155272270213815,-0.20336697570787826,-1.0390277464899313,9,2
-0.9636355497233873,452,0,0,2,0.41371988081410277,1,-0.8631733216913414,-0.20336697570787826,0.6394711866849774,22,0
-0.371530633493129,202,1,22,2,-1.3248229961180498,3,0.7459423772268314,-0.20336697570787826,-0.909668057575008,49,0
0.6752410048726026,904,0,23,1,-1.156576911253648,3,-0.1291907221848064,-0.20336697570787826,-0.8863928573976064,135,1
1.6626783953624968,1867,1,22,0,-1.04441285467738,3,0.040189877701317045,-0.20336697570787826,-1.2513881108757638,43,2
-0.4507002585557326,244,1,21,2,-1.4930690809824516,3,0.19545542759693021,-0.20336697570787826,-1.2232567868152797,226,0
0.5753078307271451,2019,1,10,0,-0.4835925717960405,1,0.12488017764437878,-0.20336697570787826,-0.41544836193221807,355,1
0.8859016485476503,1749,0,2,1,-1.4369870526943178,3,0.5342166273691771,-0.20336697570787826,-1.011115879420485,72,1
0.6697751037067521,2031,1,8,2,-0.31534648693163864,1,1.606960426647959,-0.20336697570787826,0.004181475012463519,327,1
-0.9605416434030944,308,0,0,1,0.8062940788310404,2,-0.19976597213735783,-0.20336697570787826,0.7284916184565651,337,0
-0.7790324726125832,914,0,8,2,-1.4930690809824516,3,0.6894821772647903,-0.20336697570787826,0.3763958427655763,177,0
-0.8208345846734283,364,1,20,1,1.479278418288648,2,-1.1595893714920573,-0.20336697570787826,0.1677330734961845,181,0
-0.729908115593712,1281,1,19,1,-0.3714285152197726,0,-0.3832616220139916,-0.20336697570787826,1.0341543777647013,110,0
-0.5244383591893778,385,1,33,2,-1.3248229961180498,3,-0.3409164720424607,-0.20336697570787826,-0.8070463960100258,46,0
-0.9990092119854016,1706,0,15,2,1.1427862485598441,2,2.199792526249391,-0.20336697570787826,-0.37228933763659344,201,0
